ISO3,World Bank Region
ASM,East Asia and Pacific
AUS,East Asia and Pacific
BRN,East Asia and Pacific
KHM,East Asia and Pacific
CHN,East Asia and Pacific
FJI,East Asia and Pacific
GUM,East Asia and Pacific
HKG,East Asia and Pacific
IDN,East Asia and Pacific
JPN,East Asia and Pacific
KIR,East Asia and Pacific
LAO,East Asia and Pacific
MAC,East Asia and Pacific
MYS,East Asia and Pacific
MHL,East Asia and Pacific
FSM,East Asia and Pacific
MNG,East Asia and Pacific
MMR,East Asia and Pacific
NRU,East Asia and Pacific
NCL,East Asia and Pacific
NZL,East Asia and Pacific
PRK,East Asia and Pacific
MNP,East Asia and Pacific
PHL,East Asia and Pacific
PLW,East Asia and Pacific
PNG,East Asia and Pacific
PYF,East Asia and Pacific
WSM,East Asia and Pacific
SLB,East Asia and Pacific
KOR,East Asia and Pacific
TLS,East Asia and Pacific
TON,East Asia and Pacific
TUV,East Asia and Pacific
VUT,East Asia and Pacific
VNM,East Asia and Pacific
ALB,Europe and Central Asia
ARM,Europe and Central Asia
AUT,Europe and Central Asia
AZE,Europe and Central Asia
BEL,Europe and Central Asia
BIH,Europe and Central Asia
BLR,Europe and Central Asia
BGR,Europe and Central Asia
HRV,Europe and Central Asia
CYP,Europe and Central Asia
CZE,Europe and Central Asia
DNK,Europe and Central Asia
EST,Europe and Central Asia
FIN,Europe and Central Asia
FRA,Europe and Central Asia
GEO,Europe and Central Asia
DEU,Europe and Central Asia
GRC,Europe and Central Asia
HUN,Europe and Central Asia
ISL,Europe and Central Asia
IRL,Europe and Central Asia
ITA,Europe and Central Asia
KAZ,Europe and Central Asia
KGZ,Europe and Central Asia
LVA,Europe and Central Asia
LIE,Europe and Central Asia
LTU,Europe and Central Asia
LUX,Europe and Central Asia
MKD,Europe and Central Asia
MDA,Europe and Central Asia
MNE,Europe and Central Asia
NLD,Europe and Central Asia
NOR,Europe and Central Asia
POL,Europe and Central Asia
PRT,Europe and Central Asia
ROU,Europe and Central Asia
RUS,Europe and Central Asia
SRB,Europe and Central Asia
SVK,Europe and Central Asia
SVN,Europe and Central Asia
ESP,Europe and Central Asia
SWE,Europe and Central Asia
CHE,Europe and Central Asia
TJK,Europe and Central Asia
TKM,Europe and Central Asia
UKR,Europe and Central Asia
GBR,Europe and Central Asia
UZB,Europe and Central Asia
ARG,Latin America & the Caribbean
ABW,Latin America & the Caribbean
BHS,Latin America & the Caribbean
BRB,Latin America & the Caribbean
BLZ,Latin America & the Caribbean
BOL,Latin America & the Caribbean
BRA,Latin America & the Caribbean
CAF,Latin America & the Caribbean
CHL,Latin America & the Caribbean
COL,Latin America & the Caribbean
CRI,Latin America & the Caribbean
CUB,Latin America & the Caribbean
CUW,Latin America & the Caribbean
DMA,Latin America & the Caribbean
DOM,Latin America & the Caribbean
ECU,Latin America & the Caribbean
SLV,Latin America & the Caribbean
GNQ,Latin America & the Caribbean
GRD,Latin America & the Caribbean
GTM,Latin America & the Caribbean
GUY,Latin America & the Caribbean
HTI,Latin America & the Caribbean
HND,Latin America & the Caribbean
JAM,Latin America & the Caribbean
MEX,Latin America & the Caribbean
NIC,Latin America & the Caribbean
PAN,Latin America & the Caribbean
PRY,Latin America & the Caribbean
PER,Latin America & the Caribbean
PRI,Latin America & the Caribbean
KNA,Latin America & the Caribbean
LCA,Latin America & the Caribbean
VCT,Latin America & the Caribbean
SUR,Latin America & the Caribbean
TTO,Latin America & the Caribbean
URY,Latin America & the Caribbean
VEN,Latin America & the Caribbean
VIR,Latin America & the Caribbean
DZA,Middle East and North Africa
BHR,Middle East and North Africa
DJI,Middle East and North Africa
EGY,Middle East and North Africa
IRN,Middle East and North Africa
IRQ,Middle East and North Africa
ISR,Middle East and North Africa
JOR,Middle East and North Africa
KWT,Middle East and North Africa
LBN,Middle East and North Africa
LBY,Middle East and North Africa
MRT,Middle East and North Africa
MAR,Middle East and North Africa
OMN,Middle East and North Africa
PSE,Middle East and North Africa
QAT,Middle East and North Africa
SAU,Middle East and North Africa
SYR,Middle East and North Africa
TCD,Middle East and North Africa
TUN,Middle East and North Africa
ARE,Middle East and North Africa
YEM,Middle East and North Africa
CAN,North America
USA,North America
AFG,South Asia
BGD,South Asia
BTN,South Asia
IND,South Asia
LKA,South Asia
MDV,South Asia
NPL,South Asia
PAK,South Asia
AGO,Sub-Saharan Africa
BEN,Sub-Saharan Africa
BFA,Sub-Saharan Africa
BDI,Sub-Saharan Africa
CMR,Sub-Saharan Africa
CPV,Sub-Saharan Africa
COG,Sub-Saharan Africa
CIV,Sub-Saharan Africa
COM,Sub-Saharan Africa
COD,Sub-Saharan Africa
GAB,Sub-Saharan Africa
GMB,Sub-Saharan Africa
GNB,Sub-Saharan Africa
GIN,Sub-Saharan Africa
KEN,Sub-Saharan Africa
LSO,Sub-Saharan Africa
LBR,Sub-Saharan Africa
MDG,Sub-Saharan Africa
MWI,Sub-Saharan Africa
MLI,Sub-Saharan Africa
MUS,Sub-Saharan Africa
MOZ,Sub-Saharan Africa
NAM,Sub-Saharan Africa
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
RWA,Sub-Saharan Africa
STP,Sub-Saharan Africa
SEN,Sub-Saharan Africa
SYC,Sub-Saharan Africa
SLE,Sub-Saharan Africa
SOM,Sub-Saharan Africa
ZAF,Sub-Saharan Africa
SSD,Sub-Saharan Africa
SDN,Sub-Saharan Africa
SWZ,Sub-Saharan Africa
TGO,Sub-Saharan Africa
UGA,Sub-Saharan Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
AND,Europe and Central Asia
ATG,Latin America & the Caribbean
BMU,Latin America & the Caribbean
BWA,Sub-Saharan Africa
ERI,Sub-Saharan Africa
ETH,Sub-Saharan Africa
GHA,Sub-Saharan Africa
GRL,North America
MLT,Europe and Central Asia
SGP,East Asia and Pacific
TWN,East Asia and Pacific
TZA,Sub-Saharan Africa
THA,East Asia and Pacific
TUR,Europe and Central Asia
MCO,Europe and Central Asia
SMR,Europe and Central Asia